id,name,district_id
LK-6166,Weerambugedara,LK-61
LK-6169,Kuliyapitiya East,LK-61
LK-6172,Kuliyapitiya West,LK-61
LK-6175,Udubaddawa,LK-61
LK-6178,Pannala,LK-61
LK-6181,Narammala,LK-61
LK-6184,Alawwa,LK-61
LK-6187,Polgahawela,LK-61
LK-6203,Kalpitiya,LK-62
LK-6206,Vanathawilluwa,LK-62
LK-6209,Karuwalagaswewa,LK-62
LK-6212,Nawagattegama,LK-62
LK-6215,Puttalam,LK-62
LK-6218,Mundel,LK-62
LK-6221,Mahakumbukkadawala,LK-62
LK-6224,Anamaduwa,LK-62
LK-6227,Pallama,LK-62
LK-6230,Arachchikattuwa,LK-62
LK-6233,Chilaw,LK-62
LK-6236,Madampe,LK-62
LK-6239,Mahawewa,LK-62
LK-6242,Nattandiya,LK-62
LK-6245,Wennappuwa,LK-62
LK-6248,Dankotuwa,LK-62
LK-7103,Padaviya,LK-71
LK-7106,Kebithigollewa,LK-71
LK-7109,Medawachchiya,LK-71
LK-7112,Mahawilachchiya,LK-71
LK-7115,Nuwaragam Palatha Central,LK-71
LK-7118,Rambewa,LK-71
LK-7121,Kahatagasdigiliya,LK-71
LK-7124,Horowpothana,LK-71
LK-7127,Galenbindunuwewa,LK-71
LK-7130,Mihinthale,LK-71
LK-7133,Nuwaragam Palatha East,LK-71
LK-7136,Nachchaduwa,LK-71
LK-7139,Nochchiyagama,LK-71
LK-7142,Rajanganaya,LK-71
LK-7145,Thambuttegama,LK-71
LK-7148,Thalawa,LK-71
LK-7151,Thirappane,LK-71
LK-7154,Kekirawa,LK-71
LK-7157,Palugaswewa,LK-71
LK-7160,Ipalogama,LK-71
LK-7163,Galnewa,LK-71
LK-7166,Palagala,LK-71
LK-7203,Hingurakgoda,LK-72
LK-7206,Medirigiriya,LK-72
LK-7209,Lankapura,LK-72
LK-7210,Welikanda,LK-72
LK-7212,Dimbulagala,LK-72
LK-7215,Thamankaduwa,LK-72
LK-7218,Elahera,LK-72
LK-8103,Mahiyanganaya,LK-81
LK-8106,Rideemaliyadda,LK-81
LK-8109,Meegahakivula,LK-81
LK-8112,Kandaketiya,LK-81
LK-8115,Soranathota,LK-81
LK-8118,Passara,LK-81
LK-8119,Lunugala,LK-81
LK-8121,Badulla,LK-81
LK-8124,Hali-Ela,LK-81
LK-8127,Uva Paranagama,LK-81
LK-8130,Welimada,LK-81
LK-8133,Bandarawela,LK-81
LK-8136,Ella,LK-81
LK-8139,Haputale,LK-81
LK-8142,Haldummulla,LK-81
LK-8203,Bibile,LK-82
LK-8206,Madulla,LK-82
LK-8209,Medagama,LK-82
LK-8212,Siyambalanduwa,LK-82
LK-8215,Moneragala,LK-82
LK-8218,Badalkumbura,LK-82
LK-8221,Wellawaya,LK-82
LK-8224,Buttala,LK-82
LK-8227,Katharagama,LK-82
LK-8230,Thanamalvila,LK-82
LK-8233,Sevanagala,LK-82
LK-9103,Eheliyagoda,LK-91
LK-9106,Kuruvita,LK-91
LK-9109,Kiriella,LK-91
LK-9112,Ratnapura,LK-91
LK-9115,Imbulpe,LK-91
LK-9118,Balangoda,LK-91
LK-9121,Opanayake,LK-91
LK-9124,Pelmadulla,LK-91
LK-9127,Elapatha,LK-91
LK-9130,Ayagama,LK-91
LK-9133,Kalawana,LK-91
LK-9136,Nivithigala,LK-91
LK-9139,Kahawatta,LK-91
LK-9142,Godakawela,LK-91
LK-9145,Weligepola,LK-91
LK-9148,Embilipitiya,LK-91
LK-9151,Kolonna,LK-91
LK-9203,Rambukkana,LK-92
LK-9206,Mawanella,LK-92
LK-9209,Aranayaka,LK-92
LK-9212,Kegalle,LK-92
LK-9215,Galigamuwa,LK-92
LK-9218,Warakapola,LK-92
LK-9221,Ruwanwella,LK-92
LK-9224,Bulathkohupitiya,LK-92
LK-9227,Yatiyanthota,LK-92
LK-9230,Dehiovita,LK-92
LK-9233,Deraniyagala,LK-92
