id,name,district_id
LG-71030,Padaviya PS,LK-71
LG-71060,Kebithigollewa PS,LK-71
LG-71090,Medawachchiya PS,LK-71
LG-71121,N. Palatha Central PS,LK-71
LG-71151,Anuradhapura MC,LK-71
LG-71180,Rambewa PS,LK-71
LG-71210,Kahatagasdigiliya PS,LK-71
LG-71240,Horowpothana PS,LK-71
LG-71270,Galenbindunuwewa PS,LK-71
LG-71302,Mihinthale PS,LK-71
LG-71332,N. Palatha East PS,LK-71
LG-71362,Thirappane PS,LK-71
LG-71390,Nochchiyagama PS,LK-71
LG-71420,Rajanganaya PS,LK-71
LG-71452,Thalawa PS,LK-71
LG-71541,Kekirawa PS,LK-71
LG-71600,Ipalogama PS,LK-71
LG-71660,Palagala PS,LK-71
LG-72030,Hingurakgoda PS,LK-72
LG-72060,Medirigiriya PS,LK-72
LG-72090,Lankapura PS,LK-72
LG-72100,Welikanda PS,LK-72
LG-72120,Dimbulagala PS,LK-72
LG-72150,Thamankaduwa PS,LK-72
LG-72180,Elahera PS,LK-72
LG-81030,Mahiyanganaya PS,LK-81
LG-81060,Rideemaliyadda PS,LK-81
LG-81090,Meegahakivula PS,LK-81
LG-81120,Kandaketiya PS,LK-81
LG-81150,Soranathota PS,LK-81
LG-81180,Passara PS,LK-81
LG-81190,Lunugala PS,LK-81
LG-81211,Badulla MC,LK-81
LG-81212,Badulla PS,LK-81
LG-81240,Hali-Ela PS,LK-81
LG-81270,Uva Paranagama PS,LK-81
LG-81300,Welimada PS,LK-81
LG-81331,Bandarawela MC,LK-81
LG-81332,Bandarawela PS,LK-81
LG-81362,Ella PS,LK-81
LG-81391,Haputhale PS,LK-81
LG-81392,Haputhale UC,LK-81
LG-81420,Haldummulla PS,LK-81
LG-82030,Bibile PS,LK-82
LG-82060,Madulla PS,LK-82
LG-82090,Medagama PS,LK-82
LG-82120,Siyambalanduwa PS,LK-82
LG-82150,Moneragala PS,LK-82
LG-82180,Badalkumbura PS,LK-82
LG-82210,Wellawaya PS,LK-82
LG-82240,Buttala PS,LK-82
LG-82270,Kataragama PS,LK-82
LG-82301,Thanamalvila PS,LK-82
LG-91030,Ehiliyagoda PS,LK-91
LG-91061,Kuruvita PS,LK-91
LG-91121,Ratnapura MC,LK-91
LG-91122,Ratnapura PS,LK-91
LG-91150,Imbulpe PS,LK-91
LG-91181,Balangoda PS,LK-91
LG-91182,Balangoda UC,LK-91
LG-91211,Weligepola PS,LK-91
LG-91240,Pelmadulla PS,LK-91
LG-91271,Nivithigala PS,LK-91
LG-91300,Ayagama PS,LK-91
LG-91330,Kalawana PS,LK-91
LG-91390,Kahawatta PS,LK-91
LG-91420,Godakawela  PS,LK-91
LG-91481,Embilipitiya PS,LK-91
LG-91482,Embilipitiya UC,LK-91
LG-91510,Kolonna PS,LK-91
LG-92030,Rambukkana PS,LK-92
LG-92060,Mawanella PS,LK-92
LG-92090,Aranayaka PS,LK-92
LG-92121,Kegalle PS,LK-92
LG-92122,Kegalle UC,LK-92
LG-92150,Galigamuwa PS,LK-92
LG-92180,Warakapola PS,LK-92
LG-92210,Ruwanwella PS,LK-92
LG-92240,Bulathkohupitiya PS,LK-92
LG-92270,Yatiyanthota PS,LK-92
LG-92300,Dehiovita PS,LK-92
LG-92330,Deraniyagala PS,LK-92
