id	name	country_id	province_id	district_id	ed_id	pd_id	population	area	subs	supers	eqs	ints	centroid	centroid_altitude
EC-02L	Biyagama	LK	LK-1	LK-12	EC-02	EC-02L	186585	61.18	['LK-1239005', 'LK-1239010', 'LK-1239015', 'LK-1239020', 'LK-1239025', 'LK-1239030', 'LK-1239035', 'LK-1239040', 'LK-1239045', 'LK-1239050', 'LK-1239055', 'LK-1239060', 'LK-1239065', 'LK-1239070', 'LK-1239075', 'LK-1239080', 'LK-1239085', 'LK-1239090', 'LK-1239095', 'LK-1239100', 'LK-1239105', 'LK-1239110', 'LK-1239115', 'LK-1239120', 'LK-1239125', 'LK-1239130', 'LK-1239135', 'LK-1239140', 'LK-1239145', 'LK-1239150', 'LK-1239155', 'LK-1239160', 'LK-1239165', 'LK-1239170', 'LK-1239175', 'LK-1239180', 'LK-1239185', 'LK-1239190', 'LK-1239195', 'LK-1239200', 'LK-1239205', 'LK-1239210', 'LK-1239215', 'LK-1239220', 'LK-1239225', 'LK-1239230', 'LK-1239235', 'LK-1239240', 'LK-1239245']	['EC-02', 'LK-12']	['LG-12390', 'LK-1239', 'MOH-12390']	[]	[6.968992941367569, 79.9780274578218]	33
EC-02M	Kelaniya	LK	LK-1	LK-12	EC-02	EC-02M	137339	21.87	['LG-12361', 'LG-12362']	['EC-02', 'LK-12']	['LK-1236', 'MOH-12360']	[]	[6.970149790211884, 79.90981006262805]	6
EC-02P	Postal Votes Gampaha	LK	None	None	EC-02	EC-02P	0	0						
EC-03A	Panadura	LK	LK-1	LK-13	EC-03	EC-03A	182285	46.01	['LG-13031', 'LG-13032']	['MOH-13031']	['LK-1303']	[]	[6.7156853218898, 79.92321225050313]	6
EC-03B	Bandaragama	LK	LK-1	LK-13	EC-03	EC-03B	161412	140.37	['LG-13060', 'LG-13180', 'LK-1306', 'LK-1318', 'MOH-13060']	['EC-03', 'LK-13']	[]	['MOH-13151']	[6.683382546609964, 80.00850443716838]	9
EC-03C	Horana	LK	LK-1	LK-13	EC-03	EC-03C	167260	208.15	['LG-13091', 'LK-1309', 'MOH-13090']	['EC-03', 'LK-13']	[]	[]	[6.7592589480162015, 80.09939738148405]	31
EC-03D	Bulathsinhala	LK	LK-1	LK-13	EC-03	EC-03D	98981	274.2	['LG-13120', 'LG-13150', 'LK-1312', 'LK-1315', 'MOH-13120']	['EC-03', 'LK-13']	[]	['MOH-13151']	[6.648731611932149, 80.156911082737]	17
EC-03E	Mathugama	LK	LK-1	LK-13	EC-03	EC-03E	145246	248.86	['LG-13270', 'LK-1327', 'MOH-13272']	['EC-03', 'LK-13']	[]	['MOH-13211']	[6.525159709559665, 80.07080225530285]	48
EC-03F	Kalutara	LK	LK-1	LK-13	EC-03	EC-03F	159697	77.54	['LG-13211', 'LG-13212']	['EC-03', 'LK-13']	['LK-1321']	['MOH-13031', 'MOH-13211']	[6.618385755606581, 79.9718172754317]	45
EC-03G	Beruwala	LK	LK-1	LK-13	EC-03	EC-03G	164969	72.61	['LG-13241', 'LG-13242']	['EC-03', 'LK-13']	['LK-1324', 'MOH-13240']	[]	[6.488876609223048, 80.00473320319749]	21
EC-03H	Agalawatta	LK	LK-1	LK-13	EC-03	EC-03H	142098	590.14	['LG-13330', 'LG-13360', 'LG-13390', 'LK-1333', 'LK-1336', 'LK-1339', 'MOH-13330', 'MOH-13360', 'MOH-13390']	['EC-03', 'LK-13']	[]	[]	[6.471447523896777, 80.2270725452186]	178
EC-03P	Postal Votes Kalutara	LK	None	None	EC-03	EC-03P	0	0						
EC-04A	Galagedara	LK	LK-2	LK-21	EC-04	EC-04A	67628	115.74	['LG-21031', 'LK-2103']	['EC-04', 'LK-21']	[]	[]	[7.3466867892240035, 80.49526594652819]	304
EC-04B	Harispattuwa	LK	LK-2	LK-21	EC-04	EC-04B	209488	139.67	['LG-21060', 'LG-21090', 'LK-2106', 'LK-2109', 'LK-2133', 'MOH-21060', 'MOH-21090', 'MOH-21330']	['EC-04', 'LK-21']	[]	['LG-21121']	[7.372449968415554, 80.58530907472048]	512
EC-04C	Pathadumbara	LK	LK-2	LK-21	EC-04	EC-04C	115019	141.88	['LG-21150', 'LK-2112', 'LK-2115', 'MOH-21120', 'MOH-21150']	['EC-04', 'LK-21']	[]	['LG-21121']	[7.388584014279778, 80.713095429934]	1286
EC-04D	Ududumbara	LK	LK-2	LK-21	EC-04	EC-04D	74388	529.83	['LG-21180', 'LG-21210', 'LK-2118', 'LK-2121', 'MOH-21180', 'MOH-21210']	['EC-04', 'LK-21']	[]	[]	[7.337912475443056, 80.91059691384434]	696
EC-04E	Teldeniya	LK	LK-2	LK-21	EC-04	EC-04E	61034	191.64	['LK-2124005', 'LK-2124010', 'LK-2124015', 'LK-2124020', 'LK-2124025', 'LK-2124030', 'LK-2124035', 'LK-2124040', 'LK-2124045', 'LK-2124050', 'LK-2124055', 'LK-2124060', 'LK-2124065', 'LK-2124070', 'LK-2124075', 'LK-2124080', 'LK-2124085', 'LK-2124090', 'LK-2124095', 'LK-2124100', 'LK-2124105', 'LK-2124110', 'LK-2124115', 'LK-2124120', 'LK-2124125', 'LK-2124130', 'LK-2124135', 'LK-2124140', 'LK-2124145', 'LK-2124150', 'LK-2124155', 'LK-2124160', 'LK-2124165', 'LK-2124170', 'LK-2124175', 'LK-2124180', 'LK-2124185', 'LK-2124190', 'LK-2124195', 'LK-2124200', 'LK-2124205', 'LK-2124210', 'LK-2124215', 'LK-2124220', 'LK-2124225', 'LK-2124230', 'LK-2124235', 'LK-2124240', 'LK-2124245', 'LK-2124250', 'LK-2124255', 'LK-2124260', 'LK-2124265', 'LK-2124270', 'LK-2124275', 'LK-2124280', 'LK-2124285', 'LK-2124290', 'LK-2124295', 'LK-2124300', 'LK-2124305', 'LK-2124310', 'LK-2124315', 'LK-2124320', 'LK-2124325', 'LK-2124330', 'LK-2124335', 'LK-2124340', 'LK-2124345', 'LK-2124350', 'LK-2124355', 'LK-2124360', 'LK-2124365', 'LK-2124370', 'LK-2124375', 'LK-2124380', 'LK-2124385', 'LK-2124390', 'LK-2124395', 'LK-2124400', 'LK-2124405', 'LK-2124410', 'LK-2124415', 'LK-2124425', 'LK-2124430', 'LK-2124435', 'LK-2124440', 'LK-2124445', 'LK-2124450', 'LK-2124455', 'LK-2124460', 'LK-2124465', 'LK-2124470']	['EC-04', 'LK-21']	['LG-21240', 'LK-2124', 'MOH-21240']	[]	[7.302584845525132, 80.80025730214156]	639
EC-04F	Kundasale	LK	LK-2	LK-21	EC-04	EC-04F	127070	81.34	['MOH-21271', 'MOH-21272']	['EC-04', 'LK-21']	['LG-21270', 'LK-2127']	[]	[7.305421141354468, 80.70969104014368]	482
