entity_id	total_population	male	female
EC-15A	127763.0	62095.0	65668.0
EC-15B	119583.0	57746.0	61837.0
EC-15C	141010.0	68197.0	72813.0
EC-15D	125446.0	59917.0	65529.0
EC-15E	97642.0	47073.0	50569.0
EC-15F	96128.0	46361.0	49767.0
EC-15G	114580.0	54854.0	59726.0
EC-15H	124225.0	59466.0	64759.0
EC-15I	131378.0	62746.0	68632.0
EC-15J	119946.0	57924.0	62022.0
EC-15K	99495.0	47386.0	52109.0
EC-15L	115017.0	55027.0	59990.0
EC-15M	117538.0	56161.0	61377.0
EC-15N	88714.0	42248.0	46466.0
EC-16	762396.0	368971.0	393425.0
EC-16A	220047.0	107525.0	112522.0
EC-16B	147182.0	72075.0	75107.0
EC-16C	151434.0	72902.0	78532.0
EC-16D	113223.0	54021.0	59202.0
EC-16E	130510.0	62448.0	68062.0
EC-17	860575.0	420100.0	440475.0
EC-17A	117151.0	57102.0	60049.0
EC-17B	110279.0	53954.0	56325.0
EC-17C	137668.0	66831.0	70837.0
EC-17D	140272.0	69176.0	71096.0
EC-17E	160127.0	77732.0	82395.0
EC-17F	85760.0	41731.0	44029.0
EC-17G	109318.0	53574.0	55744.0
EC-18	406088.0	200780.0	205308.0
EC-18A	108204.0	53166.0	55038.0
EC-18B	102027.0	49793.0	52234.0
EC-18C	195857.0	97821.0	98036.0
EC-19	815405.0	391948.0	423457.0
EC-19A	127394.0	62439.0	64955.0
EC-19B	65365.0	31414.0	33951.0
EC-19C	80188.0	37766.0	42422.0
EC-19D	75042.0	35179.0	39863.0
EC-19E	90571.0	42925.0	47646.0
EC-19F	77998.0	37722.0	40276.0
EC-19G	102802.0	49955.0	52847.0
EC-19H	110683.0	53072.0	57611.0
EC-19I	85362.0	41476.0	43886.0
EC-20	451058.0	224168.0	226890.0
EC-20A	107448.0	51894.0	55554.0
EC-20B	143663.0	71445.0	72218.0
EC-20C	199947.0	100829.0	99118.0
EC-21	1088007.0	536401.0	551606.0
EC-21A	135158.0	66330.0	68828.0
EC-21B	156785.0	77792.0	78993.0
EC-21C	111240.0	54991.0	56249.0
EC-21D	141040.0	68451.0	72589.0
