entity_id	total_population
LG-32010	31648.0
LG-32011	20291.0
LG-32012	33535.0
LG-32013	22377.0
LG-32014	36695.0
LG-32015	79110.0
LG-32016	48253.0
LG-32017	54672.0
LG-33001	43102.0
LG-33002	31559.0
LG-33003	68606.0
LG-33004	34028.0
LG-33005	23236.0
LG-33006	72943.0
LG-33007	48301.0
LG-33008	80289.0
LG-33009	69340.0
LG-33010	55992.0
LG-33011	64034.0
LG-33012	8473.0
LG-41001	9876.0
LG-41002	9576.0
LG-41003	46438.0
LG-41004	52269.0
LG-41005	29518.0
LG-41006	53016.0
LG-41007	73225.0
LG-41008	44733.0
LG-41009	11397.0
LG-41010	36883.0
LG-41011	13048.0
LG-41012	48575.0
LG-41013	16129.0
LG-41014	34432.0
LG-41015	84201.0
LG-41016	16742.0
LG-41017	3824.0
LG-42001	26661.0
LG-42002	24417.0
LG-42003	19732.0
LG-42004	20641.0
LG-42005	8119.0
LG-43001	11523.0
LG-43002	13118.0
LG-43003	66388.0
LG-43004	51145.0
LG-43005	29886.0
LG-44001	9699.0
LG-44002	7117.0
LG-44003	43385.0
LG-44004	31992.0
LG-45001	8530.0
LG-45002	84678.0
LG-45003	20302.0
LG-51001	23284.0
LG-51002	27392.0
LG-51003	68249.0
LG-51004	75478.0
LG-51005	24643.0
LG-51006	86227.0
LG-51007	28489.0
LG-51008	40356.0
LG-51009	30694.0
LG-51010	24726.0
LG-51011	36222.0
LG-51012	60807.0
LG-52001	60178.0
LG-52002	18290.0
LG-52003	20828.0
LG-52004	58325.0
LG-52005	23076.0
LG-52006	24133.0
LG-52007	18727.0
LG-52008	60465.0
LG-52009	99893.0
LG-52010	16839.0
LG-52011	26361.0
LG-52012	41968.0
LG-52013	14383.0
LG-52014	6731.0
LG-52015	32435.0
LG-52016	22458.0
LG-52017	35312.0
LG-52018	25277.0
LG-52019	34809.0
LG-52020	8914.0
LG-53001	11882.0
LG-53002	33218.0
LG-53003	7382.0
LG-53004	7968.0
LG-53005	45456.0
LG-53006	52031.0
LG-53007	28527.0
LG-53008	46802.0
LG-53009	27841.0
LG-53010	36772.0
LG-53011	56621.0
LG-53012	13632.0
LG-53013	11409.0
LG-61001	31412.0
LG-61002	80859.0
LG-61003	80363.0
LG-61004	83608.0
LG-61005	76139.0
LG-61006	125098.0
LG-61007	97642.0
LG-61008	35975.0
LG-61009	62349.0
LG-61010	96128.0
LG-61011	142818.0
LG-61012	24833.0
LG-61013	64074.0
LG-61014	88714.0
LG-61015	99495.0
LG-61016	125825.0
LG-61017	5553.0
LG-61018	52231.0
LG-61019	124225.0
LG-61020	56279.0
LG-61021	63667.0
LG-62001	117498.0
LG-62002	17460.0
LG-62003	23440.0
LG-62004	14483.0
LG-62005	52775.0
LG-62006	45511.0
LG-62007	61900.0
LG-62008	75161.0
LG-62009	23078.0
LG-62010	87357.0
LG-62011	113223.0
LG-62012	130510.0
LG-71001	22998.0
LG-71002	22325.0
LG-71003	46906.0
LG-71004	66596.0
LG-71005	66116.0
LG-71006	36782.0
LG-71007	40339.0
LG-71008	36990.0
LG-71009	46992.0
LG-71010	31699.0
LG-71011	45533.0
LG-71012	31197.0
LG-71013	49886.0
LG-71014	33543.0
LG-71015	92260.0
LG-71016	42726.0
LG-71017	74823.0
LG-71018	38862.0
LG-71019	34002.0
LG-72001	64289.0
LG-72002	65575.0
LG-72003	36452.0
LG-72004	33770.0
LG-72005	79661.0
LG-72006	48722.0
LG-72007	33704.0
LG-72008	43915.0
LG-81001	75776.0
LG-81002	51618.0
LG-81003	19719.0
LG-81004	23075.0
LG-81005	22571.0
LG-81006	48807.0
LG-81007	31381.0
LG-81008	42237.0
LG-81009	32805.0
LG-81010	90571.0
LG-81011	77998.0
LG-81012	100808.0
LG-81013	31340.0
LG-81014	36641.0
LG-81015	42702.0
LG-81016	41205.0
LG-81017	8593.0
LG-81018	37558.0
LG-82001	40329.0
LG-82002	31238.0
LG-82003	35881.0
LG-82004	54040.0
LG-82005	49520.0
LG-82006	40103.0
LG-82007	60060.0
LG-82008	53084.0
LG-82009	18220.0
LG-82010	68583.0
LG-91001	70839.0
LG-91002	128259.0
LG-91003	66801.0
LG-91004	53411.0
LG-91005	56260.0
LG-91006	33938.0
LG-91007	50842.0
LG-91008	57570.0
LG-91009	89469.0
LG-91010	97983.0
LG-91011	30894.0
LG-91012	51307.0
LG-91013	43298.0
LG-91014	76469.0
LG-91015	98001.0
LG-91016	36712.0
LG-91017	45954.0
LG-92001	82769.0
LG-92002	111727.0
LG-92003	67679.0
LG-92004	75646.0
LG-92005	15993.0
LG-92006	74490.0
LG-92007	113056.0
LG-92008	63913.0
LG-92009	47095.0
LG-92010	61096.0
LG-92011	81315.0
LG-92012	45869.0
LK	20357776.0
LK-1	5850745.0
LK-11	2323964.0
LK-1103	323223.0
LK-1103005	7829.0
LK-1103010	28003.0
LK-1103015	17757.0
LK-1103020	12970.0
LK-1103025	8809.0
LK-1103030	13625.0
LK-1103035	12423.0
LK-1103040	13802.0
LK-1103045	6385.0
LK-1103050	9409.0
LK-1103055	9339.0
LK-1103060	8110.0
LK-1103065	8516.0
LK-1103070	13436.0
LK-1103075	17588.0
LK-1103080	8904.0
LK-1103085	6821.0
LK-1103090	11524.0
LK-1103095	13683.0
LK-1103100	10053.0
LK-1103105	7517.0
LK-1103110	7746.0
LK-1103115	1924.0
LK-1103120	1473.0
LK-1103125	3789.0
LK-1103130	3795.0
LK-1103135	6883.0
LK-1103140	3915.0
LK-1103145	7221.0
LK-1103150	8467.0
LK-1103155	8968.0
LK-1103160	8526.0
LK-1103165	4591.0
LK-1103170	2583.0
LK-1103175	6839.0
LK-1106	191687.0
LK-1106005	7606.0
LK-1106010	6934.0
LK-1106015	2308.0
LK-1106020	5083.0
LK-1106025	2119.0
LK-1106030	5900.0
LK-1106035	8432.0
LK-1106040	4671.0
LK-1106045	5761.0
LK-1106050	7611.0
LK-1106055	3703.0
LK-1106060	4649.0
LK-1106065	4040.0
LK-1106070	2767.0
LK-1106075	4439.0
LK-1106080	3283.0
LK-1106085	3535.0
LK-1106090	3349.0
LK-1106095	4103.0
LK-1106100	2244.0
LK-1106105	3603.0
LK-1106110	2342.0
LK-1106115	5867.0
LK-1106120	4078.0
LK-1106125	10149.0
LK-1106130	3221.0
LK-1106135	4715.0
LK-1106140	2946.0
LK-1106145	4935.0
LK-1106150	5096.0
LK-1106155	2643.0
LK-1106160	2083.0
LK-1106165	6442.0
LK-1106170	2408.0
LK-1106175	3879.0
LK-1106180	3344.0
LK-1106185	4044.0
LK-1106190	1944.0
LK-1106195	2567.0
LK-1106200	2580.0
LK-1106205	5213.0
LK-1106210	3173.0
LK-1106215	2533.0
LK-1106220	3761.0
LK-1106225	2181.0
LK-1106230	3403.0
LK-1109	252041.0
LK-1109005	4997.0
LK-1109010	4030.0
LK-1109015	4165.0
LK-1109020	4342.0
LK-1109025	4224.0
LK-1109030	4261.0
LK-1109035	3863.0
LK-1109040	5530.0
LK-1109045	4878.0
LK-1109050	2099.0
LK-1109055	6091.0
LK-1109060	5495.0
LK-1109065	3131.0
LK-1109070	7680.0
LK-1109075	4405.0
LK-1109080	9178.0
LK-1109085	2871.0
LK-1109090	1913.0
LK-1109095	4842.0
LK-1109100	2105.0
LK-1109105	1876.0
LK-1109110	2623.0
LK-1109115	6922.0
LK-1109120	5133.0
LK-1109125	5958.0
LK-1109130	5141.0
LK-1109135	3777.0
LK-1109140	2793.0
LK-1109145	6734.0
LK-1109150	9250.0
LK-1109155	8518.0
LK-1109160	4287.0
LK-1109165	3087.0
LK-1109170	2568.0
LK-1109175	2465.0
LK-1109180	2001.0
LK-1109185	7582.0
LK-1109190	7422.0
LK-1109195	6238.0
LK-1109200	4501.0
LK-1109205	5799.0
LK-1109210	3027.0
LK-1109215	3149.0
LK-1109220	5113.0
LK-1109225	5512.0
LK-1109230	2607.0
LK-1109235	5076.0
LK-1109240	2208.0
LK-1109245	2354.0
LK-1109250	3057.0
LK-1109255	1580.0
LK-1109260	2014.0
LK-1109265	4442.0
LK-1109270	3136.0
LK-1109275	4725.0
LK-1109280	5548.0
LK-1109285	3718.0
LK-1112	237905.0
LK-1112005	7292.0
LK-1112010	1484.0
LK-1112015	1501.0
LK-1112020	1921.0
LK-1112025	1771.0
LK-1112030	1654.0
LK-1112035	3005.0
LK-1112040	3022.0
LK-1112045	2723.0
LK-1112050	1256.0
LK-1112055	3142.0
LK-1112060	2406.0
LK-1112065	1755.0
LK-1112070	6703.0
LK-1112075	3060.0
LK-1112080	4725.0
LK-1112085	4165.0
LK-1112090	2105.0
LK-1112095	1403.0
LK-1112100	3070.0
LK-1112105	1400.0
LK-1112110	3064.0
LK-1112115	1800.0
LK-1112120	3240.0
LK-1112125	3128.0
LK-1112130	3525.0
LK-1112135	2873.0
LK-1112140	2207.0
LK-1112145	3062.0
LK-1112150	3154.0
LK-1112155	3867.0
LK-1112160	2035.0
LK-1112165	6457.0
LK-1112170	4701.0
LK-1112175	2771.0
LK-1112180	3332.0
LK-1112185	2472.0
LK-1112190	4223.0
LK-1112195	3360.0
LK-1112200	3845.0
LK-1112205	4467.0
LK-1112210	2983.0
LK-1112215	1581.0
LK-1112220	2429.0
LK-1112225	2452.0
LK-1112230	4931.0
LK-1112235	1894.0
LK-1112240	3594.0
LK-1112245	4655.0
LK-1112250	3278.0
LK-1112255	2502.0
LK-1112260	4039.0
LK-1112265	3192.0
LK-1112270	2679.0
LK-1112275	3762.0
LK-1112280	2127.0
LK-1112285	2888.0
LK-1112290	3981.0
LK-1112295	1529.0
LK-1112300	1942.0
LK-1112305	3189.0
LK-1112310	2968.0
LK-1112315	4087.0
LK-1112320	3087.0
LK-1112325	2129.0
LK-1112330	1843.0
LK-1112335	1695.0
LK-1112340	3225.0
LK-1112345	2850.0
LK-1112350	2091.0
LK-1112355	2497.0
LK-1112360	3189.0
LK-1112365	2681.0
LK-1112370	2131.0
LK-1112375	3073.0
LK-1112380	1315.0
LK-1112385	1977.0
LK-1112390	2044.0
LK-1112395	954.0
LK-1112400	2418.0
LK-1112405	4878.0
LK-1115	113807.0
LK-1115005	1700.0
LK-1115010	1799.0
LK-1115015	1080.0
LK-1115020	598.0
LK-1115025	2048.0
LK-1115030	3356.0
LK-1115035	1689.0
LK-1115040	815.0
LK-1115045	2316.0
LK-1115050	2333.0
LK-1115055	2649.0
LK-1115060	2001.0
LK-1115065	1631.0
LK-1115070	2664.0
LK-1115075	1385.0
LK-1115080	1076.0
LK-1115085	1195.0
LK-1115090	1152.0
LK-1115095	1431.0
LK-1115100	2464.0
LK-1115105	1959.0
LK-1115110	1830.0
LK-1115115	1307.0
LK-1115120	2095.0
LK-1115125	1837.0
LK-1115130	2138.0
LK-1115135	1725.0
LK-1115140	1877.0
LK-1115145	2964.0
LK-1115150	3837.0
LK-1115155	1307.0
LK-1115160	1301.0
LK-1115165	1893.0
LK-1115170	2099.0
LK-1115175	1451.0
LK-1115180	2033.0
LK-1115185	3559.0
LK-1115190	928.0
LK-1115195	1339.0
LK-1115200	1492.0
LK-1115205	2989.0
LK-1115210	1510.0
LK-1115215	1681.0
LK-1115220	1173.0
LK-1115225	1732.0
LK-1115230	1322.0
LK-1115235	1478.0
LK-1115240	2146.0
LK-1115245	1128.0
LK-1115250	1512.0
LK-1115255	1627.0
LK-1115260	666.0
LK-1115265	1717.0
LK-1115270	1041.0
LK-1115275	1857.0
LK-1115280	1717.0
LK-1115285	2807.0
LK-1115290	868.0
LK-1115295	1233.0
LK-1115300	606.0
LK-1115305	533.0
LK-1115310	708.0
LK-1115315	767.0
LK-1115320	744.0
LK-1115325	1289.0
LK-1115330	1713.0
LK-1115335	1976.0
LK-1115340	914.0
LK-1118	65267.0
LK-1118005	845.0
LK-1118010	1518.0
LK-1118015	857.0
LK-1118020	1789.0
LK-1118025	794.0
LK-1118030	970.0
LK-1118035	1891.0
LK-1118040	1074.0
LK-1118045	727.0
LK-1118050	1339.0
LK-1118055	1878.0
LK-1118060	707.0
LK-1118065	1438.0
LK-1118070	1332.0
LK-1118075	2790.0
LK-1118080	2391.0
LK-1118085	1247.0
LK-1118090	2939.0
LK-1118095	1520.0
LK-1118100	2168.0
LK-1118105	1157.0
LK-1118110	2157.0
LK-1118115	1814.0
LK-1118120	1593.0
LK-1118125	2340.0
LK-1118130	1071.0
LK-1118135	1329.0
LK-1118140	1175.0
LK-1118145	1469.0
LK-1118150	983.0
LK-1118155	1361.0
LK-1118160	2059.0
LK-1118165	1498.0
LK-1118170	1901.0
LK-1118175	1284.0
LK-1118180	1763.0
LK-1118185	753.0
LK-1118190	1367.0
LK-1118195	1755.0
LK-1118200	932.0
LK-1118205	764.0
LK-1118210	621.0
LK-1118215	1412.0
LK-1118220	917.0
LK-1118225	765.0
LK-1118230	813.0
LK-1121	196423.0
LK-1121005	6043.0
LK-1121010	6222.0
LK-1121015	6244.0
LK-1121020	5492.0
LK-1121025	6217.0
LK-1121030	4956.0
LK-1121035	5632.0
LK-1121040	4471.0
LK-1121045	1259.0
LK-1121050	2697.0
LK-1121055	4342.0
LK-1121060	2466.0
LK-1121065	7647.0
LK-1121070	3513.0
LK-1121075	4543.0
LK-1121080	7086.0
LK-1121085	5838.0
LK-1121090	6309.0
LK-1121095	4780.0
LK-1121100	6546.0
LK-1121105	3695.0
LK-1121110	2464.0
LK-1121115	5233.0
LK-1121120	4060.0
LK-1121125	2766.0
LK-1121130	7159.0
LK-1121135	2692.0
LK-1121140	3648.0
LK-1121145	3458.0
LK-1121150	1596.0
LK-1121155	5496.0
LK-1121160	2255.0
LK-1121165	5453.0
LK-1121170	5194.0
LK-1121175	7328.0
LK-1121180	4094.0
LK-1121185	7734.0
LK-1121190	4901.0
LK-1121195	3675.0
LK-1121200	7391.0
LK-1121205	3828.0
LK-1124	107883.0
LK-1124005	11963.0
LK-1124010	7004.0
LK-1124015	6749.0
LK-1124020	3591.0
LK-1124025	4792.0
LK-1124030	4059.0
LK-1124035	5707.0
LK-1124040	3371.0
LK-1124045	5929.0
LK-1124050	3984.0
LK-1124055	3634.0
LK-1124060	5301.0
LK-1124065	5473.0
LK-1124070	5627.0
LK-1124075	5446.0
LK-1124080	3365.0
LK-1124085	5944.0
LK-1124090	5352.0
LK-1124095	7305.0
LK-1124100	3287.0
LK-1127	237748.0
LK-1127005	6709.0
LK-1127010	7523.0
LK-1127015	9865.0
LK-1127020	6954.0
LK-1127025	10577.0
LK-1127030	18602.0
LK-1127035	17355.0
LK-1127040	21326.0
LK-1127045	5127.0
LK-1127050	6498.0
LK-1127055	11166.0
LK-1127060	12673.0
LK-1127065	7348.0
LK-1127070	7400.0
LK-1127075	20237.0
LK-1127080	17846.0
LK-1127085	14876.0
LK-1127090	10826.0
LK-1127095	12451.0
LK-1127100	12389.0
LK-1130	88962.0
LK-1130005	6367.0
LK-1130010	6334.0
LK-1130015	4806.0
LK-1130020	5475.0
LK-1130025	5517.0
LK-1130030	6228.0
LK-1130035	5671.0
LK-1130040	5184.0
LK-1130045	6767.0
LK-1130050	5914.0
LK-1130055	9058.0
LK-1130060	3543.0
LK-1130065	4374.0
LK-1130070	5633.0
LK-1130075	8091.0
LK-1131	95506.0
LK-1131005	8373.0
LK-1131010	6624.0
LK-1131015	6311.0
LK-1131020	4608.0
LK-1131025	12166.0
LK-1131030	8854.0
LK-1131035	7683.0
LK-1131040	5018.0
LK-1131045	7585.0
LK-1131050	6443.0
LK-1131055	5736.0
LK-1131060	6564.0
LK-1131065	9541.0
LK-1133	168280.0
LK-1133005	4201.0
LK-1133010	4805.0
LK-1133015	2898.0
LK-1133020	2711.0
LK-1133025	2748.0
LK-1133030	5385.0
LK-1133035	5918.0
LK-1133040	3916.0
LK-1133045	4481.0
LK-1133050	3049.0
LK-1133055	3333.0
LK-1133060	4464.0
LK-1133065	3783.0
LK-1133070	2144.0
LK-1133075	4033.0
LK-1133080	5380.0
LK-1133085	3194.0
LK-1133090	10596.0
LK-1133095	7487.0
LK-1133100	3255.0
LK-1133105	3544.0
LK-1133110	3375.0
LK-1133115	2826.0
LK-1133120	2174.0
LK-1133125	4524.0
LK-1133130	4437.0
LK-1133135	3854.0
LK-1133140	3630.0
LK-1133145	3678.0
LK-1133150	4689.0
LK-1133155	3592.0
LK-1133160	2236.0
LK-1133165	2394.0
LK-1133170	5696.0
LK-1133175	2192.0
LK-1133180	3531.0
LK-1133185	3582.0
LK-1133190	3551.0
LK-1133195	4399.0
LK-1133200	4603.0
LK-1133205	2869.0
LK-1133210	5123.0
LK-1136	245232.0
LK-1136005	5039.0
LK-1136010	1765.0
LK-1136015	2328.0
LK-1136020	2631.0
LK-1136025	3413.0
LK-1136030	4466.0
LK-1136035	1485.0
LK-1136040	4768.0
LK-1136045	3310.0
LK-1136050	4842.0
LK-1136055	2822.0
LK-1136060	1977.0
LK-1136065	5204.0
LK-1136070	3358.0
LK-1136075	3697.0
LK-1136080	2045.0
LK-1136085	5213.0
LK-1136090	1489.0
LK-1136095	3435.0
LK-1136100	6544.0
LK-1136105	4373.0
LK-1136110	2542.0
LK-1136115	5440.0
LK-1136120	2773.0
LK-1136125	2194.0
LK-1136130	4032.0
LK-1136135	4703.0
LK-1136140	5503.0
LK-1136145	3050.0
LK-1136150	3042.0
LK-1136155	3633.0
LK-1136160	3303.0
LK-1136165	4037.0
LK-1136170	4949.0
LK-1136175	2655.0
LK-1136180	2697.0
LK-1136185	4690.0
LK-1136190	3257.0
LK-1136195	1749.0
LK-1136200	3385.0
LK-1136205	2761.0
LK-1136210	2040.0
LK-1136215	2303.0
LK-1136220	3055.0
LK-1136225	2070.0
LK-1136230	3633.0
LK-1136235	2779.0
LK-1136240	1387.0
LK-1136245	4294.0
LK-1136250	5847.0
LK-1136255	4279.0
LK-1136260	2019.0
LK-1136265	1880.0
LK-1136270	3522.0
LK-1136275	3939.0
LK-1136280	4947.0
LK-1136285	6316.0
LK-1136290	6628.0
LK-1136295	3799.0
LK-1136300	2084.0
LK-1136305	1524.0
LK-1136310	4165.0
LK-1136315	4434.0
LK-1136320	2196.0
LK-1136325	5487.0
LK-1136330	1604.0
LK-1136335	1300.0
LK-1136340	1545.0
LK-1136345	1481.0
LK-1136350	3184.0
LK-1136355	2339.0
LK-1136360	1270.0
LK-1136365	3283.0
LK-12	2304833.0
LK-1203	142136.0
LK-1203005	4425.0
LK-1203010	3722.0
LK-1203015	2777.0
LK-1203020	3913.0
LK-1203025	4925.0
LK-1203030	5025.0
LK-1203035	3534.0
LK-1203040	5478.0
LK-1203045	4921.0
LK-1203050	6605.0
LK-1203055	3606.0
LK-1203060	2997.0
LK-1203065	3917.0
LK-1203070	3353.0
LK-1203075	3928.0
LK-1203080	3006.0
LK-1203085	3125.0
LK-1203090	6062.0
LK-1203095	3663.0
LK-1203100	4027.0
LK-1203105	2718.0
LK-1203110	2852.0
LK-1203115	2932.0
LK-1203120	2948.0
LK-1203125	2460.0
LK-1203130	2975.0
LK-1203135	2058.0
LK-1203140	6757.0
LK-1203145	2475.0
LK-1203150	5453.0
LK-1203155	4009.0
LK-1203160	2620.0
LK-1203165	3452.0
LK-1203170	2625.0
LK-1203175	3225.0
LK-1203180	3729.0
LK-1203185	2049.0
LK-1203190	1883.0
LK-1203195	1907.0
LK-1206	235291.0
LK-1206005	1369.0
LK-1206010	1712.0
LK-1206015	1720.0
LK-1206020	2914.0
LK-1206025	2657.0
LK-1206030	2623.0
LK-1206035	2010.0
LK-1206040	3087.0
LK-1206045	1762.0
LK-1206050	3062.0
LK-1206055	1061.0
LK-1206060	1823.0
LK-1206065	4495.0
LK-1206070	1793.0
LK-1206075	991.0
LK-1206080	4286.0
LK-1206085	3630.0
LK-1206090	2789.0
LK-1206095	3212.0
LK-1206100	5611.0
LK-1206105	3711.0
LK-1206110	2594.0
LK-1206115	4528.0
LK-1206120	2345.0
LK-1206125	2010.0
LK-1206130	2496.0
LK-1206135	2195.0
LK-1206140	5505.0
LK-1206145	6995.0
LK-1206150	3245.0
LK-1206155	2621.0
LK-1206160	1724.0
LK-1206165	3418.0
LK-1206170	3656.0
LK-1206175	6567.0
LK-1206180	1967.0
LK-1206185	3622.0
LK-1206190	3696.0
LK-1206195	4653.0
LK-1206200	6804.0
LK-1206205	2733.0
LK-1206210	3138.0
LK-1206215	2701.0
LK-1206220	1814.0
LK-1206225	2177.0
LK-1206230	5738.0
LK-1206235	3361.0
LK-1206240	2708.0
LK-1206245	2552.0
LK-1206250	1758.0
LK-1206255	5898.0
LK-1206260	4824.0
LK-1206265	8538.0
LK-1206270	1476.0
LK-1206275	2225.0
LK-1206280	1961.0
LK-1206285	2465.0
LK-1206290	2458.0
LK-1206295	2111.0
LK-1206300	1723.0
LK-1206305	1221.0
LK-1206310	1894.0
LK-1206315	1828.0
LK-1206320	2554.0
LK-1206325	3197.0
LK-1206330	5210.0
LK-1206335	3041.0
LK-1206340	2402.0
LK-1206345	1915.0
LK-1206350	4127.0
LK-1206355	1672.0
LK-1206360	3062.0
LK-1206365	2475.0
LK-1206370	2691.0
LK-1206375	1848.0
LK-1206380	1758.0
