entity_id	employed	unemployed	economically_not_active	region_id
LG-33011	22305	2020	22985	0
LG-33012	2901	307	3390	0
LG-41001	2952	99	3897	0
LG-41002	3303	237	3453	0
LG-41003	13027	1830	19237	0
LG-41004	14953	1924	22183	0
LG-41006	14792	1465	24290	0
LG-41007	20777	2476	32155	0
LG-41009	3189	361	4159	0
LG-41010	10395	1642	15172	0
LG-41011	3766	471	5666	0
LG-41012	14487	2219	20966	0
LG-41013	3982	548	6442	0
LG-41014	8865	1313	16733	0
LG-41015	23994	2793	37601	0
LG-41016	4627	579	6615	0
LG-41017	1083	302	1435	0
LG-42001	8422	839	9471	0
LG-42002	8174	991	8882	0
LG-42003	5876	666	6928	0
LG-42004	931	93	940	0
LG-42005	2306	228	2958	0
LG-43001	3967	327	3795	0
LG-43002	4932	412	4108	0
LG-43003	20108	2201	25286	0
LG-43004	16524	1887	20489	0
LG-43005	7224	3247	10287	0
LG-44001	2962	431	3310	0
LG-44002	2151	304	2486	0
LG-44003	13293	1163	15100	0
LG-44004	10002	899	11328	0
LG-45001	2587	432	3031	0
LG-45002	23035	2898	31127	0
LG-45003	5826	594	7127	0
LG-51001	6462	589	7809	0
LG-51002	7800	499	9278	0
LG-51003	20379	2141	23053	0
LG-51004	16207	1403	20108	0
LG-51005	6214	662	7836	0
LG-51006	25052	2903	34046	0
LG-51007	7952	661	10323	0
LG-51008	10250	601	15569	0
LG-51009	8683	1701	11157	0
LG-51010	6781	853	9715	0
LG-51011	9132	1094	14827	0
LG-51012	17181	3790	23858	0
LG-52001	22880	1249	20243	0
LG-52002	8187	233	4648	0
LG-52003	8453	364	6243	0
LG-52004	20789	1708	20662	0
LG-52005	8876	441	7430	0
LG-52006	9941	523	7354	0
LG-52007	5156	488	7134	0
LG-52008	13672	2217	23417	0
LG-52009	14154	2021	22925	0
LG-52010	5156	833	5941	0
LG-52011	6852	848	11065	0
LG-52012	9001	1862	17499	0
LG-52013	3311	645	5433	0
LG-52014	1588	224	2700	0
LG-52015	7879	1218	13136	0
LG-52016	7013	693	8394	0
LG-52017	12573	943	12042	0
LG-52018	7498	1376	9450	0
LG-52019	7996	1666	13514	0
LG-52020	2176	95	2235	0
LG-53001	4218	293	4099	0
LG-53002	10260	783	10497	0
LG-53003	3078	143	2189	0
LG-53004	2362	101	1719	0
LG-53005	14740	1394	16090	0
